날짜,내용,Type
2021.02.08,혜주 시작합니다,Text
2021.02.08,구라비아 아니에요 ㅡ,Text
2021.02.08,ㄱㅡ,Text
2021.02.08,이거 아는 사람,Text
2021.02.08,ㄱㅡ,Text
2021.02.08,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Text
2021.02.08,안녕,Text
2021.02.08,타자 안 빨라요 저 ㅜ,Text
2021.02.08,아 이게 빠른건가?,Text
2021.02.08,저녁은 아까 먹었죠,Text
2021.02.08,다시 들을 수 있어요,Text
2021.02.08,곤약밥 맛있어요,Text
2021.02.08,술떡이 제일 맛있었어요,Text
2021.02.08,구름ㅇ로 수박게임 좋아요,Text
2021.02.08,필카 저도 찍어요,Text
2021.02.08,피포페인팅 완성하면 나중에,Text
2021.02.08,보여줄게요,Text
2021.02.08,현상은 아직 안 했어요,Text
2021.02.08,다 못 찍어서,Text
2021.02.08,컴터게임은 요즘에 안 해요,Text
2021.02.08,오늘은 일찍 못 잘듯,Text
2021.02.08,오빛들은 일찍 자요,Text
2021.02.08,그리고 저 공카에 편지도 맨날 봐요,Text
2021.02.08,댓글도 다 써주고 싶은데,Text
2021.02.08,우편으로 보내주는 편지도,Text
2021.02.08,다 답장 해주곳ㅇ,Text
2021.02.08,싶어요,Text
2021.02.08,요새는 일찍 자기도하고,Text
2021.02.08,늦게 자기도하고,Text
2021.02.08,공주 아님ㅡㅡ,Text
2021.02.08,닭가슴살도 맛있어요,Text
2021.02.08,아기 아님ㅡㅡ,Text
2021.02.08,인생 맛집ㅅ있어요,Text
2021.02.08,마라탕집인데,Text
2021.02.08,비밀이죠,Text
2021.02.08,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Text
2021.02.08,꿔바로우 당연히 같이 먹어요 전.,Text
2021.02.08,채팅 끝나면 숙소 가요,Text
2021.02.08,마라탕엔 고구마떡 진리,Text
2021.02.08,예명 적응은 아직....,Text
2021.02.08,아메리카노 잠 안 와서 끊었어요,Text
2021.02.08,ㅠ,Text
2021.02.08,자기 전에 들을 노래 음,Text
2021.02.08,후디선배님 노래,Text
2021.02.08,쿠키런 오븐브레이크,Text
2021.02.08,인이어 빠졌을 때 속상했어요,Text
2021.02.08,한소절 부르면 오빛 들을 수 있어요.....?,Text
2021.02.08,저는 마카롱맛쿠키 자주 써요,Text
2021.02.08,아늑,Text
2021.02.08,물 많이 먹기가 젤 힘들어요,Text
2021.02.08,사실이 아닙니다,Text
2021.02.08,홍초는 좋아해요,Text
2021.02.08,달주파하면서 따띃한 차,Text
2021.02.08,먹었어요,Text
2021.02.08,유자차 굿,Text
2021.02.08,에세이 좋아요,Text
2021.02.08,바닐라라떼는 별로,Text
2021.02.08,오빛들도 건강하세요,Text
2021.02.08,일단 피포페인팅 끝내고,Text
2021.02.08,다른 것도,Text
2021.02.08,해볼 생각,Text
2021.02.08,이제 저 가요,Text
2021.02.08,오빛들 잘 자고,Text
2021.02.08,아프지 말고,Text
2021.02.08,안녕,Text
2021.02.19,손혜주 시작,Text
2021.02.19,이미 갔어요,Text
2021.02.19,ㅋㅋㅋㅋㅋㅋㅋ,Text
2021.02.19,오늘 하루는 바빴어요,Text
2021.02.19,저녁 훠궈,Text
2021.02.19,저녁 먹었어요,Text
2021.02.19,립클립스 출첵 ㅋ,Text
2021.02.19,그래도 완성하고 샆어요,Text
2021.02.19,메이플 별로 재미없는ㄴ 것 같아요 저는,Text
2021.02.19,이모도 출첵ㅋ,Text
2021.02.19,봤죠,Text
2021.02.19,쿠키런에서 저의 브이로그를......❤️,Text
2021.02.19,훠궈는 고원언니랑,Text
2021.02.19,브이로그 또 찍고 싶은데,Text
2021.02.19,하는 게 없어서ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅠㅠㅠㅠㅠㅠㅠ,Text
2021.02.19,그래도,Text
2021.02.19,또 찍어 볼게요,Text
2021.02.19,츄러스맛 쿠키 이미 8레벨,Text
2021.02.19,ㅎ,Text
2021.02.19,그래도 편집할 때 재밌게 하려면,Text
2021.02.19,제가 뭐라도 해야 재밌는 것 같아요,Text
2021.02.19,부담 아니에요 저,Text
2021.02.19,그냥 오빛들한테 보여주고 싶어서,Text
2021.02.19,롤은 왤케 화가날까요 하면,Text
2021.02.19,전 왤케 못 할까요 롤,Text
2021.02.19,Sigh,Text (Eng)
2021.02.19,민초 먹기 노잼,Text
2021.02.19,화나면 그냥....,Text
2021.02.19,분노 삭히기,Text
2021.02.19,수다떠는 브이로그도 괜찮을 듯핮니다,Text
2021.02.19,요즘 듣는 노래 음..,Text
2021.02.19,벚꽃 엔딩,Text
2021.02.19,전 원래 계절노래 빨리 시작하는 편이에요,Text
2021.02.19,하하,Text
2021.02.19,와 찾으러 간거 어케 알았어요,Text
2021.02.19,소름,Text
2021.02.19,오늘은 그래도 날씨 괜찮았죠??,Text
2021.02.19,ㅋㅋㅋㅋㅋㅋㅋㅋ역시 오빛들 나잘알^^,Text
2021.02.19,지금 핸드폰으로 하는 중에요,Text
2021.02.19,근데 독수리타자는 맞아요,Text
2021.02.19,요즘 좀 늦게 자긴해요,Text
2021.02.19,타자는 빠른 편인가?,Text
2021.02.19,잘 모르겠어요,Text
2021.02.19,소파메이트....인가,Text
2021.02.19,빨리 무대 서고싶어요,Text
2021.02.19,ㅜ,Text
2021.02.19,보고 싶은 춤 많이 추천해줘요,Text
2021.02.19,원래 이모티콘 잘 안 써요,Text
2021.02.19,공카나 암때나 마구마구 추천,Text
2021.02.19,텍스트대치 안 써요,Text
2021.02.19,헐 주문,Text
2021.02.19,진짜 커버 해보고 싶은,Text
2021.02.19,노래,Text
2021.02.19,나중에 브이앱에서,Text
2021.02.19,춤도 자유롭게,Text
2021.02.19,보여 드릴 수 있었으면,Text
2021.02.19,좋겠네요,Text
2021.02.19,그쵸 생각만 해도 눈물........^^*,Text
2021.02.19,멤버들이랑 찍었었던 셀카도,Text
2021.02.19,모아서,Text
2021.02.19,올릴게요,Text
2021.02.19,맞아요 수윤이랑 친구 됐어요,Text
2021.02.19,효녀가수ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Text
2021.02.19,저도 보고 싶어요 오빛들,Text
2021.02.19,그러게요 왜 안 하지 엉망징창,Text
2021.02.19,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Text
2021.02.19,공주 셀카 없음,Text
2021.02.19,공주 셀카 언금임!,Text
2021.02.19,오빛도 건강하세요 항상,Text
2021.02.19,팬튜브 잼,Text
2021.02.19,왤케 편집 잘 하시지,Text
2021.02.19,오케이 크리스마스셀카 접수,Text
2021.02.19,진짜 편집 장인 가수에 편집 장인 팬,Text
2021.02.19,ㅎ,Text
2021.02.19,역시 오빛들 다 잘해,Text
2021.02.19,교복 셀카 접수,Text
2021.02.19,예가자원투님,Text
2021.02.19,대박,Text
2021.02.19,마멜츄님도,Text
2021.02.19,이제,Text
2021.02.19,저 가요,Text
2021.02.19,금요일 하루 잘 마무리하세요 오빛들,Text
2021.02.19,꿈 꾸지 말고 푹 자요,Text
2021.02.19,안녕~~~,Text
2021.03.24,혜주,Text
2021.03.24,오늘 어땠어요 ㅇ오빛,Text
2021.03.24,재밌었나요,Text
2021.03.24,깔깔,Text
2021.03.24,Glasses seriously...,Text (Eng)
2021.03.24,"It was nice for me too, being able to talk after so long",Text (Eng)
2021.03.24,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Text
2021.03.24,베이글 헤이데이요,Text
2021.03.24,Whoa tofu brownie,Text (Eng)
2021.03.24,Gotta catch Mouse live,Text (Eng)
2021.03.24,Gonna attempt tofu noodles too,Text (Eng)
2021.03.24,I try to post diverse selfies but,Text (Eng)
2021.03.24,Hmm,Text (Eng)
2021.03.24,What to post,Text (Eng)
2021.03.24,I'm debating,Text (Eng)
2021.03.24,You asked for book recommendations so,Text (Eng)
2021.03.24,I was looking up the title,Text (Eng)
2021.03.24,but I couldn't find it,Text (Eng)
2021.03.24,ㅠ,Text
2021.03.24,I think exercise is way more,Text (Eng)
2021.03.24,difficult,Text (Eng)
2021.03.24,샤이니선배님 돈콜미.... 너무 좋아요,Text
2021.03.24,춤도 너무 멋있어서,Text
2021.03.24,안무 따고 있었어요,Text
2021.03.24,Also it's my 3-year anniversary soon,Text (Eng)
2021.03.24,😎,Text
2021.03.24,ㅎㅎㅎ기대기대,Text
2021.03.24,저는 안무 딸려면 좀 걸려요....^-^,Text
2021.03.24,Thank you,Text (Eng)
2021.03.24,Have you all had dinner,Text (Eng)
2021.03.24,Please recommend movies that Orbits are watching,Text (Eng)
2021.03.24,Abs-rice ㅋㅋㅋㅋㄱㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ [Pun on 'fried rice'],Text (Eng)
2021.03.24,I ate earlier,Text (Eng)
2021.03.24,I'll try looking up all of these,Text (Eng)
2021.03.24,I only put in tofu today,Text (Eng)
2021.03.24,Lately I,Text (Eng)
2021.03.24,Thelma & Louise,Text (Eng)
2021.03.24,I saw that,Text (Eng)
2021.03.24,"While I was at it, I'm lazy so I made all of it at once",Text (Eng)
2021.03.24,I'll eat it again tomorrow,Text (Eng)
2021.03.24,When I get into something I ate until I get sick of it,Text (Eng)
2021.03.24,저도 작심삼일 인간이에요........😃,Text
2021.03.24,잘 질려하지 않아요 사실,Text
2021.03.24,오빛들이 볼 때 제가 굉장히 끈기 있고,Text
2021.03.24,그렇게 보일 수 있지만,Text
2021.03.24,사람이란게,Text
2021.03.24,완벽하지 않기 때문에,Text
2021.03.24,저도 가끔은 실패도 하고,Text
2021.03.24,의지가 부족할 때도 있고,Text
2021.03.24,그러니까 오빛들도 실패 했을 때,Text
2021.03.24,너무 낙심하지마요,Text
2021.03.24,저희도 오빛들과 같기 때문에!,Text
2021.03.24,ㅋㅋㅋㅋㅋㅋㅋㅋ Failing to get tickets,Text (Eng)
2021.03.24,그럼요,Text
2021.03.24,다 팬분들이 해주시는 말들이,Text
2021.03.24,도움이 많이 됐어요,Text
2021.03.24,항상 좋은 말들만 해주시니까,Text
2021.03.24,감사하죠,Text
2021.03.24,오빛들은 항상 최고얐어요,Text
2021.03.24,서로 의지해야죠!!!!!!!!,Text
2021.03.24,여러분 모두 이달소니까ㅋ,Text
2021.03.24,오빛들도 좋은 것만 보고 좋은 얘기만 들어요,Text
2021.03.24,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Text
2021.03.24,이제 저 가야 할 시간이에요,Text
2021.03.24,What do you mean you're not good enough to be Loonaㅡㅡ,Text (Eng)
2021.03.24,Yeah you do,Text (Eng)
2021.03.24,교복 셀카 곧...,Text
2021.03.24,이만 갑니다...,Text
2021.03.24,안녕😎😎😎😎😎😎,Text
2021.04.01,오빛ㅋㅋㅋㅋㅋㅋㅋㅋ,Text
2021.04.01,속았어요?,Text
2021.04.01,처음에 다들 안 믿어서,Text
2021.04.01,더 진진하게 하니까,Text
2021.04.01,진지하게,Text
2021.04.01,재밌네요,Text
2021.04.01,오늘 만우절 장난 한 거 없었는데,Text
2021.04.01,하루가 끝나기 전에 해서,Text
2021.04.01,즐거웠어요,Text
2021.04.01,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Text
2021.04.01,얼굴 보였으면 웃겨서 못 했을 것 같은데,Text
2021.04.01,안 보여서ㅋㅋㅋㅋㅋㅋㅋㅋ,Text
2021.04.01,제가 예림이한테 브이앱 시작 전에 하자고 했죠ㅋㅋㅋㅋㅋ,Text
2021.04.01,장난 장난,Text
2021.04.01,오빛 놀리기 진심이죠 ㅎㅋ,Text
2021.04.01,Your shocked hearts,Text (Eng)
2021.04.01,Please calm it now Orbit...,Text (Eng)
2021.04.01,오늘 예림이랑 처음해서,Text
2021.04.01,재밌었어요,Text
2021.04.01,Thank you for celebrating my 3rd anniversary the day before yesterday,Text (Eng)
2021.04.01,3 years already,Text (Eng)
2021.04.01,오빛하고 약속했던 셀카로 셀렉했어요,Text
2021.04.01,케이콘 셀카는 좀만 기다려주세요,Text
2021.04.01,아쉽게 교복셀카는 이제 갖고 있는 게 앖어요,Text
2021.04.01,거울셀카도 함 도전,Text
2021.04.01,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ Eating,Text (Eng)
2021.04.01,이번에 요청한 셀카도 모아서,Text
2021.04.01,올려 보겠습니다,Text
2021.04.01,혜주정식은 그냥,Text
2021.04.01,편의점에서 뭐 먹을까 고믾하다가,Text
2021.04.01,어찌저찌,Text
2021.04.01,생겼어요,Text
2021.04.01,A month ago,Text (Eng)
2021.04.01,A book I read recently,Text (Eng)
2021.04.01,A friend gifted me From Alone to Alone,Text (Eng)
2021.04.01,is the name of the book,Text (Eng)
2021.04.01,책 자주는 안 읽고요..... ^-^,Text
2021.04.01,I try to read though,Text (Eng)
2021.04.01,"If I go too much like ""I must read!""",Text (Eng)
2021.04.01,Then it comes back as pressures so I split it up,Text (Eng)
2021.04.01,and read little by little,Text (Eng)
2021.04.01,Choerry's next to me saying she really wants rose tteokboki,Text (Eng)
2021.04.01,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Text
2021.04.01,저희 언니 최애는 저요,Text
2021.04.01,ㅎㅋ,Text
2021.04.01,이브언니 자전거ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Text
2021.04.01,제가 보통 앞에서 달리는데,Text
2021.04.01,뭔가 느낌이 쎄해서,Text
2021.04.01,뒤돌아보면,Text
2021.04.01,없어요,Text
2021.04.01,그래서 후진해서,Text
2021.04.01,가면 언니가,Text
2021.04.01,낑낑대고 있더라고요,Text
2021.04.01,그래서 계속,Text
2021.04.01,거의,Text
2021.04.01,뒤 보면서 달리는 정도,Text
2021.04.01,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Text
2021.04.01,자칫하면 낙오될 수 있기 때문에,Text
2021.04.01,근데 언니도 이젠 잘 타요,Text
2021.04.01,Definitely one person bikes,Text (Eng)
2021.04.01,저는 10살에 아빠한테 배웠어요,Text
2021.04.01,자전거는 한 번 배우면,Text
2021.04.01,몸이 기억하는 거 알죠,Text
2021.04.01,벚꽃도 비비언니랑 같이 보러 갔어요,Text
2021.04.01,언니가 이런 벚꽃 보는 게 로망이었다고,Text
2021.04.01,했어요,Text
2021.04.01,설거지뷰 아니고 밖에서ㅋㅋㅋㅋㅋㅋㅋㅋ,Text
2021.04.01,같이 보니까 더 좋았어요,Text
2021.04.01,이제 저,Text
2021.04.01,시간 끝나서,Text
2021.04.01,예림이 올거예요,Text
2021.04.01,안녕 오빛...........,Text
2021.10.21,하이,Text
2021.10.21,저는 채팅이 더 편한 느낌,Text
2021.10.21,ㅜ,Text
2021.10.21,다들 안 가고 기다리고 있었네요!!!!!,Text
2021.10.21,다들 채팅이 편하죠,Text
2021.10.21,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Text
2021.10.21,그러네,Text
2021.10.21,오빛들은 계속 채팅이었잖아요,Text
2021.10.21,홍대 옷가게ㅋㅋㅋㅋㅋㅋㅋㅋ,Text
2021.10.21,너무해~~~~,Text
2021.10.21,0,Voice
2021.10.21,사진 오키,Text
2021.10.21,0,Image
2021.10.21,오늘 찍은 건 없어요,Text
2021.10.21,이건 무려 어제 사진,Text
2021.10.21,버블인 척 해볼까요 다시?,Text
2021.10.21,1,Image
2021.10.21,오빛들 전 이제 자욯ㅎ,Text
2021.10.21,이런거,Text
2021.10.21,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Text
2021.10.21,2,Image
2021.10.21,전 카페왔어요~,Text
2021.10.21,이런거ㅋㅋㅋㅋㅋ,Text
2021.10.21,맞죠?,Text
2021.10.21,이 느낌,Text
2021.10.21,3,Image
2021.10.21,저희 밥 먹으러 왔어요ㅋㅋㅋㅋ,Text
2021.10.21,우리도 할 줄 아는데,Text
2021.10.21,~~~~!,Text
2021.10.21,치통 포즈,Text
2021.10.21,진솔 언니가 찍ㄱ은 거,Text
2021.10.21,4,Image
2021.10.21,구름이랑,Text
2021.10.21,왤케 새침한지,Text
2021.10.21,화면을 안 봐요,Text
2021.10.21,강아지가 잘 나오면,Text
2021.10.21,제가 이상하게 나오고,Text
2021.10.21,구름이가 잘 나오면,Text
2021.10.21,아니,Text
2021.10.21,제가 잘 나오면,Text
2021.10.21,구름이가 이상하고,Text
2021.10.21,그치만 저 잘 나오는 게 중요하죠,Text
2021.10.21,5,Image
2021.10.21,퇴근 후 나의 모습,Text
2021.10.21,초점 없는 눈,Text
2021.10.21,헝크러진 머리,Text
2021.10.21,사진 다 뿌릴라고,Text
2021.10.21,6,Image
2021.10.21,영통한 날,Text
2021.10.21,독서실 바이브,Text
2021.10.21,우리 같이 수업듣다 나만 혼났잖아..,Text
2021.10.21,기억나지..?,Text
2021.10.21,넌 아닌 척 잘하더라..,Text
2021.10.21,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Text
2021.10.21,나 수박 안 먹었어,Text
2021.10.21,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Text
2021.10.21,7,Image
2021.10.21,면허장에서,Text
2021.10.21,찍음,Text
2021.10.21,8,Image
2021.10.21,이건 카페에서,Text
2021.10.21,저,Text
2021.10.21,가죽을 입어야,Text
2021.10.21,아니,Text
2021.10.21,제 폰 튕겨서,Text
2021.10.21,직ㅁ,Text
2021.10.21,팬매언니걸로,Text
2021.10.21,멤버가 이걸로 로그인하고 있는 것 같아,Text
2021.10.21,ㅠ,Text
2021.10.21,누구여,Text
2021.10.21,암튼,Text
2021.10.21,가죽자켓을 입어야,Text
2021.10.21,더 달릴 수 있을 것 같은,Text
2021.10.21,느낌이 들어요,Text
2021.10.21,전 안 오케이,Text
2021.10.21,누가 이 귀한 채팅 시간을,Text
2021.10.21,저 이제,Text
2021.10.21,곧 가야해요,Text
2021.10.21,당ㅁ에 또 와서,Text
2021.10.21,채팅할게요,Text
2021.10.21,ㅠ,Text
2021.10.21,안녕~~,Text